Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW01       VERTICALLY    AREA         True                        100      7.48158e-05  6.69956e-05           1.36698e-05        100         0             10              10                0               100                  0
BKW01       VERTICALLY    AREA         False                        60      8.36372e-05  8.17776e-05           6.26347e-06         60        40             10               9                1                90                 10
BKW01       VERTICALLY    PERIMETER    True                        100      7.13348e-05  6.98566e-05           5.19381e-06        100         0             10              10                0               100                  0
BKW01       VERTICALLY    PERIMETER    False                        60      8.48293e-05  8.22544e-05           5.44389e-06         60        40             10               9                1                90                 10
BKW01       VERTICALLY    HEIGHT       True                         60      9.05037e-05  8.79765e-05           5.93198e-06         60        40             10               9                1                90                 10
BKW01       VERTICALLY    HEIGHT       False                        24      8.14438e-05  7.9155e-05            5.59466e-06         24        76             10               8                2                80                 20
BKW01       VERTICALLY    WIDTH        True                        100      6.16074e-05  5.93662e-05           5.11706e-06        100         0             10              10                0               100                  0
BKW01       VERTICALLY    WIDTH        False                        60      8.61168e-05  8.24928e-05           6.82294e-06         60        40             10               9                1                90                 10
BKW01       VERTICALLY    ID           True                         60      0.000102329  0.000100136           6.35715e-06         60        40             10               9                1                90                 10
BKW01       VERTICALLY    ID           False                        60      0.000102139  9.91821e-05           6.19631e-06         60        40             10               9                1                90                 10
BKW01       HORIZONTALLY  AREA         True                        100      6.52313e-05  6.19888e-05           7.15351e-06        100         0             10              10                0               100                  0
BKW01       HORIZONTALLY  AREA         False                        12.75   7.05242e-05  6.74725e-05           6.89257e-06         12.75     87.25          10               6                4                60                 40
BKW01       HORIZONTALLY  PERIMETER    True                        100      6.44207e-05  6.27041e-05           5.70892e-06        100         0             10              10                0               100                  0
BKW01       HORIZONTALLY  PERIMETER    False                        12.75   7.04288e-05  6.84261e-05           5.03419e-06         12.75     87.25          10               6                4                60                 40
BKW01       HORIZONTALLY  HEIGHT       True                        100      6.99997e-05  6.81877e-05           6.17057e-06        100         0             10              10                0               100                  0
BKW01       HORIZONTALLY  HEIGHT       False                        12.75   7.07626e-05  7.00951e-05           4.719e-06           12.75     87.25          10               6                4                60                 40
BKW01       HORIZONTALLY  WIDTH        True                         88.75   7.04288e-05  6.7234e-05            5.83926e-06         88.75     11.25          10               8                2                80                 20
BKW01       HORIZONTALLY  WIDTH        False                        24      8.95977e-05  8.65459e-05           6.37858e-06         24        76             10               8                2                80                 20
BKW01       HORIZONTALLY  ID           True                         17.75   8.05855e-05  7.9155e-05            4.48582e-06         17.75     82.25          10               7                3                70                 30
BKW01       HORIZONTALLY  ID           False                        52.75   7.1764e-05   6.96182e-05           5.97475e-06         52.75     47.25          10               7                3                70                 30
BKW01       MAX_AREA      AREA         True                        100      0.000155687  0.000150442           1.11502e-05        100         0             10              10                0               100                  0
BKW01       MAX_AREA      AREA         False                        60      0.000189352  0.000183821           1.17474e-05         60        40             10               9                1                90                 10
BKW01       MAX_AREA      PERIMETER    True                        100      0.000154638  0.000150681           9.50283e-06        100         0             10              10                0               100                  0
BKW01       MAX_AREA      PERIMETER    False                        60      0.00019536   0.000188351           1.2621e-05          60        40             10               9                1                90                 10
BKW01       MAX_AREA      HEIGHT       True                         98.75   0.000157166  0.000152588           1.08037e-05         98.75      1.25          10               9                1                90                 10
BKW01       MAX_AREA      HEIGHT       False                        60      0.000189638  0.000184536           1.21744e-05         60        40             10               9                1                90                 10
BKW01       MAX_AREA      WIDTH        True                         88.75   0.000140667  0.000134945           1.02869e-05         88.75     11.25          10               8                2                80                 20
BKW01       MAX_AREA      WIDTH        False                        60      0.000184679  0.000178814           1.12037e-05         60        40             10               9                1                90                 10
BKW01       MAX_AREA      ID           True                         60      0.000184488  0.000180721           1.07689e-05         60        40             10               9                1                90                 10
BKW01       MAX_AREA      ID           False                        52.75   0.000230074  0.000231504           2.47106e-05         52.75     47.25          10               7                3                70                 30
BKW01       NONE          AREA         True                        100      0.00164299   0.00163007            2.58261e-05        100         0             10              10                0               100                  0
BKW01       NONE          AREA         False                        60      0.0016438    0.00164461            5.57227e-06         60        40             10               9                1                90                 10
BKW01       NONE          PERIMETER    True                        100      0.00162854   0.00160694            2.99652e-05        100         0             10              10                0               100                  0
BKW01       NONE          PERIMETER    False                        60      0.0016748    0.00165749            3.20712e-05         60        40             10               9                1                90                 10
BKW01       NONE          HEIGHT       True                         60      0.00129995   0.00130773            1.97612e-05         60        40             10               9                1                90                 10
BKW01       NONE          HEIGHT       False                        60      0.00190244   0.00180435            0.000206337         60        40             10               9                1                90                 10
BKW01       NONE          WIDTH        True                        100      0.0020637    0.00204301            6.14188e-05        100         0             10              10                0               100                  0
BKW01       NONE          WIDTH        False                        60      0.00180497   0.0018084             3.11782e-05         60        40             10               9                1                90                 10
BKW01       NONE          ID           True                         60      0.00167823   0.00166297            2.29764e-05         60        40             10               9                1                90                 10
BKW01       NONE          ID           False                        52.75   0.000847721  0.000788927           0.00010252          52.75     47.25          10               7                3                70                 30
