Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

OF1         VERTICALLY    AREA         True                       71        8.69751e-05  8.13007e-05           1.24658e-05       71       29                23               6               17          26.087              73.913
OF1         VERTICALLY    PERIMETER    True                       84.8571   9.25064e-05  8.86917e-05           8.04287e-06       84.8571  15.1429           23               7               16          30.4348             69.5652
OF1         VERTICALLY    HEIGHT       True                       95        0.000108004  0.000104904           4.99884e-06       95        5                23               8               15          34.7826             65.2174
OF1         VERTICALLY    WIDTH        True                       75.5714   0.00010376   0.000100374           8.57432e-06       75.5714  24.4286           23               8               15          34.7826             65.2174
OF1         VERTICALLY    ID           True                       74.5714   0.000113153  0.000110388           5.43803e-06       74.5714  25.4286           23               9               14          39.1304             60.8696
OF1         HORIZONTALLY  AREA         True                       80.8929   7.71046e-05  7.48634e-05           5.38129e-06       80.8929  19.1071           23               7               16          30.4348             69.5652
OF1         HORIZONTALLY  PERIMETER    True                       77.7857   6.67572e-05  6.41346e-05           6.8439e-06        77.7857  22.2143           23               5               18          21.7391             78.2609
OF1         HORIZONTALLY  HEIGHT       True                       90.4286   8.51154e-05  8.34465e-05           4.89775e-06       90.4286   9.57143          23               8               15          34.7826             65.2174
OF1         HORIZONTALLY  WIDTH        True                       60.25     8.81672e-05  8.58307e-05           5.27848e-06       60.25    39.75             23               6               17          26.087              73.913
OF1         HORIZONTALLY  ID           True                       69.1071   9.54628e-05  9.41753e-05           5.97209e-06       69.1071  30.8929           23               8               15          34.7826             65.2174
OF1         MAX_AREA      AREA         True                       75.7143   0.000147247  0.000145674           8.66821e-06       75.7143  24.2857           23               6               17          26.087              73.913
OF1         MAX_AREA      PERIMETER    True                       83.1786   0.000163364  0.000159979           9.65215e-06       83.1786  16.8214           23               7               16          30.4348             69.5652
OF1         MAX_AREA      HEIGHT       True                       95        0.000195026  0.000192881           1.02625e-05       95        5                23               8               15          34.7826             65.2174
OF1         MAX_AREA      WIDTH        True                       74.75     0.000170326  0.000166416           9.67709e-06       74.75    25.25             23               7               16          30.4348             69.5652
OF1         MAX_AREA      ID           True                       51.4286   0.000172853  0.000170708           7.18744e-06       51.4286  48.5714           23               7               16          30.4348             69.5652
OF1         NONE          AREA         True                       80.8929   0.00123076   0.00122166            1.636e-05         80.8929  19.1071           23               7               16          30.4348             69.5652
OF1         NONE          PERIMETER    True                       84.8571   0.00121098   0.00121117            6.38214e-06       84.8571  15.1429           23               7               16          30.4348             69.5652
OF1         NONE          HEIGHT       True                       95        0.00144744   0.00144935            6.46989e-06       95        5                23               8               15          34.7826             65.2174
OF1         NONE          WIDTH        True                       81.0357   0.00174747   0.00174236            1.86135e-05       81.0357  18.9643           23               8               15          34.7826             65.2174
OF1         NONE          ID           True                       74.5714   0.00252275   0.00252056            2.44648e-05       74.5714  25.4286           23               9               14          39.1304             60.8696
OF2         VERTICALLY    AREA         True                       81.2857   6.49929e-05  6.27041e-05           4.44662e-06       81.2857  18.7143           24               6               18          25                  75
OF2         VERTICALLY    PERIMETER    True                       75.8214   7.31945e-05  7.05719e-05           6.13436e-06       75.8214  24.1786           24               6               18          25                  75
OF2         VERTICALLY    HEIGHT       True                       63.3929   7.16209e-05  6.91414e-05           5.22044e-06       63.3929  36.6071           24               5               19          20.8333             79.1667
OF2         VERTICALLY    WIDTH        True                       81.8214   7.79629e-05  7.39098e-05           8.31667e-06       81.8214  18.1786           24               6               18          25                  75
OF2         VERTICALLY    ID           True                       84.0714   8.16345e-05  7.84397e-05           6.30904e-06       84.0714  15.9286           24               7               17          29.1667             70.8333
OF2         HORIZONTALLY  AREA         True                       89.1429   7.92027e-05  7.62939e-05           6.8096e-06        89.1429  10.8571           24               8               16          33.3333             66.6667
OF2         HORIZONTALLY  PERIMETER    True                       77.1071   9.06467e-05  8.84533e-05           5.32352e-06       77.1071  22.8929           24               7               17          29.1667             70.8333
OF2         HORIZONTALLY  HEIGHT       True                       81.3571   7.82013e-05  7.55787e-05           5.82054e-06       81.3571  18.6429           24               7               17          29.1667             70.8333
OF2         HORIZONTALLY  WIDTH        True                       77.1071   9.35555e-05  9.15527e-05           5.34951e-06       77.1071  22.8929           24               7               17          29.1667             70.8333
OF2         HORIZONTALLY  ID           True                       58.2857   6.46114e-05  6.19888e-05           4.51865e-06       58.2857  41.7143           24               5               19          20.8333             79.1667
OF2         MAX_AREA      AREA         True                       83.0714   0.000162077  0.000155926           1.05287e-05       83.0714  16.9286           24               7               17          29.1667             70.8333
OF2         MAX_AREA      PERIMETER    True                       69.3214   0.000147104  0.000144243           8.183e-06         69.3214  30.6786           24               6               18          25                  75
OF2         MAX_AREA      HEIGHT       True                       63.3929   0.000132465  0.000128746           7.76615e-06       63.3929  36.6071           24               5               19          20.8333             79.1667
OF2         MAX_AREA      WIDTH        True                       77.1071   0.000174332  0.000171185           7.72329e-06       77.1071  22.8929           24               7               17          29.1667             70.8333
OF2         MAX_AREA      ID           True                       71.1786   0.000151157  0.000139236           2.09619e-05       71.1786  28.8214           24               6               18          25                  75
OF2         NONE          AREA         True                       81.2857   0.00149522   0.00147057            5.01461e-05       81.2857  18.7143           24               6               18          25                  75
OF2         NONE          PERIMETER    True                       81.8214   0.00189652   0.0018971             5.25084e-06       81.8214  18.1786           24               6               18          25                  75
OF2         NONE          HEIGHT       True                       73.9643   0.00198612   0.0019803             1.66706e-05       73.9643  26.0357           24               7               17          29.1667             70.8333
OF2         NONE          WIDTH        True                       77.1071   0.00296488   0.00296283            5.78056e-06       77.1071  22.8929           24               7               17          29.1667             70.8333
OF2         NONE          ID           True                       92.3571   0.00144391   0.00144315            5.39985e-06       92.3571   7.64286          24               8               16          33.3333             66.6667
OKP1        VERTICALLY    AREA         True                       77.56     0.000144005  0.000137568           1.38036e-05       77.56    22.44             50               8               42          16                  84
OKP1        VERTICALLY    PERIMETER    True                       91.16     0.000158834  0.000155926           7.40312e-06       91.16     8.84             50              17               33          34                  66
OKP1        VERTICALLY    HEIGHT       True                       79.7      0.000364923  0.000360966           8.51071e-06       79.7     20.3              50              19               31          38                  62
OKP1        VERTICALLY    WIDTH        True                       91.62     0.000151587  0.000148058           7.90371e-06       91.62     8.38             50              16               34          32                  68
OKP1        VERTICALLY    ID           True                       86.04     0.000181913  0.000180006           5.28623e-06       86.04    13.96             50              14               36          28                  72
OKP1        HORIZONTALLY  AREA         True                       93.1      0.000139904  0.000137568           6.32488e-06       93.1      6.9              50              11               39          22                  78
OKP1        HORIZONTALLY  PERIMETER    True                       83.78     0.000107336  0.000105381           5.8486e-06        83.78    16.22             50              13               37          26                  74
OKP1        HORIZONTALLY  HEIGHT       True                       83.7      0.000261593  0.000257969           8.64299e-06       83.7     16.3              50              23               27          46                  54
OKP1        HORIZONTALLY  WIDTH        True                       83.78     0.000118256  0.000115871           6.87043e-06       83.78    16.22             50              13               37          26                  74
OKP1        HORIZONTALLY  ID           True                       81.52     0.00017333   0.000170708           5.74386e-06       81.52    18.48             50              13               37          26                  74
OKP1        MAX_AREA      AREA         True                       77.56     0.000231123  0.000225306           1.07734e-05       77.56    22.44             50               8               42          16                  84
OKP1        MAX_AREA      PERIMETER    True                       88.4      0.000253916  0.000247478           1.01892e-05       88.4     11.6              50              14               36          28                  72
OKP1        MAX_AREA      HEIGHT       True                       79.7      0.000563192  0.000555754           1.46548e-05       79.7     20.3              50              19               31          38                  62
OKP1        MAX_AREA      WIDTH        True                       88.4      0.000371981  0.000367165           1.68725e-05       88.4     11.6              50              14               36          28                  72
OKP1        MAX_AREA      ID           True                       77.52     0.000251436  0.000246286           8.00547e-06       77.52    22.48             50               9               41          18                  82
OKP1        NONE          AREA         True                       97.22     0.00178461   0.00177813            2.43488e-05       97.22     2.78             50               9               41          18                  82
OKP1        NONE          PERIMETER    True                       91.16     0.00405669   0.00391555            0.000283895       91.16     8.84             50              17               33          34                  66
OKP1        NONE          HEIGHT       True                       88.54     0.00844831   0.00835419            0.000170033       88.54    11.46             50              21               29          42                  58
OKP1        NONE          WIDTH        True                       91.62     0.00297956   0.00295758            6.73088e-05       91.62     8.38             50              16               34          32                  68
OKP1        NONE          ID           True                       90.04     0.00944791   0.00946593            0.000127036       90.04     9.96             50              18               32          36                  64
OKP2        VERTICALLY    AREA         True                       84.62     0.000164795  0.000164747           8.35132e-06       84.62    15.38             30               6               24          20                  80
OKP2        VERTICALLY    PERIMETER    True                       86.82     0.000120544  0.000117302           8.99897e-06       86.82    13.18             30              10               20          33.3333             66.6667
OKP2        VERTICALLY    HEIGHT       True                       86.82     0.000135422  0.000131369           7.16685e-06       86.82    13.18             30               9               21          30                  70
OKP2        VERTICALLY    WIDTH        True                       87.69     0.000121403  0.000118494           7.50227e-06       87.69    12.31             30              10               20          33.3333             66.6667
OKP2        VERTICALLY    ID           True                       83.61     0.000150585  0.000145435           9.41509e-06       83.61    16.39             30              10               20          33.3333             66.6667
OKP2        HORIZONTALLY  AREA         True                       84.58     0.000107956  0.000104666           6.76437e-06       84.58    15.42             30               8               22          26.6667             73.3333
OKP2        HORIZONTALLY  PERIMETER    True                       84.59     0.000100565  9.91821e-05           5.54322e-06       84.59    15.41             30               9               21          30                  70
OKP2        HORIZONTALLY  HEIGHT       True                       86.82     0.000138235  0.000135183           7.39851e-06       86.82    13.18             30               9               21          30                  70
OKP2        HORIZONTALLY  WIDTH        True                       84.95     0.000108004  0.000102282           8.80536e-06       84.95    15.05             30               9               21          30                  70
OKP2        HORIZONTALLY  ID           True                       68.09     0.000129509  0.000126123           8.118e-06         68.09    31.91             30               8               22          26.6667             73.3333
OKP2        MAX_AREA      AREA         True                       83.61     0.000180912  0.000177145           1.18946e-05       83.61    16.39             30               7               23          23.3333             76.6667
